Order ID,Generic Name,Brand Name,Company Name,Disease Medical Use,Invoice date,Company code,ship to country,Sold-to party Country Full Name,Delivery Plant,External Agent,Sales quantity,Price TC /Kg,Revenue,External commissions,Months
CA-2015-012,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-09-2015,5887,India,India,8095,Not assigned,376, $500.0 ," $1,88,000.0 ", $-   ,Sep
CA-2015-013,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-07-2015,5887,India,India,8095,Not assigned,135, $500.0 ," $67,500.0 ", $-   ,Jul
CA-2015-014,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-07-2015,5887,India,India,8095,Not assigned,379, $500.0 ," $1,89,500.0 ", $-   ,Jul
CA-2015-015,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-10-2015,5887,India,India,8095,Not assigned,104, $500.0 ," $52,000.0 ", $-   ,Oct
CA-2015-016,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-02-2015,5887,India,India,8095,Assigned,468, $500.0 ," $2,34,000.0 "," $10,296.0 ",Feb
CA-2015-017,Pregabalin,Lyrica,Pfizer,Neuropathic pain,04-05-2015,5887,Thailand,Thailand,8095,Not assigned,365, $500.0 ," $1,82,500.0 ", $-   ,May
CA-2015-018,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-06-2015,5887,Thailand,Thailand,8095,Not assigned,119, $500.0 ," $59,500.0 ", $-   ,Jun
CA-2015-019,Pregabalin,Lyrica,Pfizer,Neuropathic pain,13-05-2015,5887,Thailand,Thailand,8095,Not assigned,127, $500.0 ," $63,500.0 ", $-   ,May
CA-2015-020,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-07-2015,5887,India,India,8095,Not assigned,254, $500.0 ," $1,27,000.0 ", $-   ,Jul
CA-2015-021,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-12-2015,5887,India,India,8095,Not assigned,171, $500.0 ," $85,500.0 ", $-   ,Dec
CA-2015-022,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-02-2015,5887,South Africa,South Africa,8095,Assigned,250, $500.0 ," $1,25,000.0 "," $7,833.3 ",Feb
CA-2015-023,Pregabalin,Lyrica,Pfizer,Neuropathic pain,20-07-2015,5887,India,India,8095,Not assigned,240, $500.0 ," $1,20,000.0 ", $-   ,Jul
CA-2015-024,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-11-2015,5887,India,India,8095,Not assigned,365, $500.0 ," $1,82,500.0 ", $-   ,Nov
CA-2015-025,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-02-2015,5887,Nepal,Nepal,8095,Assigned,88, $500.0 ," $44,000.0 "," $1,760.0 ",Feb
CA-2015-026,Pregabalin,Lyrica,Pfizer,Neuropathic pain,06-04-2015,5887,India,India,8095,Not assigned,416, $500.0 ," $2,08,000.0 ", $-   ,Apr
CA-2015-027,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-07-2015,5887,India,India,8095,Not assigned,227, $500.0 ," $1,13,500.0 ", $-   ,Jul
CA-2015-028,Pregabalin,Lyrica,Pfizer,Neuropathic pain,29-09-2015,5887,Nepal,Nepal,8095,Assigned,18, $500.0 ," $9,000.0 ", $576.0 ,Sep
CA-2015-029,Pregabalin,Lyrica,Pfizer,Neuropathic pain,11-04-2015,5887,India,India,8095,Not assigned,491, $500.0 ," $2,45,500.0 ", $-   ,Apr
CA-2015-030,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-01-2015,5887,India,India,8095,Not assigned,465, $500.0 ," $2,32,500.0 ", $-   ,Jan
CA-2015-031,Pregabalin,Lyrica,Pfizer,Neuropathic pain,31-03-2015,5887,India,India,8095,Not assigned,167, $500.0 ," $83,500.0 ", $-   ,Mar
CA-2015-032,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-11-2015,5887,India,India,8095,Not assigned,485, $500.0 ," $2,42,500.0 ", $-   ,Nov
CA-2015-033,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-08-2015,5887,Sudan,Utd.Arab Emir.,8095,Assigned,22, $500.0 ," $11,000.0 ", $381.3 ,Aug
CA-2015-034,Pregabalin,Lyrica,Pfizer,Neuropathic pain,04-05-2015,5887,Sudan,Utd.Arab Emir.,8095,Assigned,306, $500.0 ," $1,53,000.0 "," $8,976.0 ",May
TA-2015-035,Duloxetine,Cymbalta,Generic,Depression; anxiety disorders,15-07-2015,5704,India,India,8370,Not assigned,232, $453.0 ," $1,05,096.0 ", $-   ,Jul
CA-2015-036,Pregabalin,Lyrica,Pfizer,Neuropathic pain,03-10-2015,5887,Egypt,Egypt,8095,Not assigned,77, $500.0 ," $38,500.0 ", $-   ,Oct
CA-2015-037,Pregabalin,Lyrica,Pfizer,Neuropathic pain,28-06-2015,5887,India,India,8095,Not assigned,191, $500.0 ," $95,500.0 ", $-   ,Jun
CA-2015-038,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-08-2015,5887,Cambodia,Cambodia,8095,Not assigned,295, $500.0 ," $1,47,500.0 ", $-   ,Aug
CA-2015-039,Pregabalin,Lyrica,Pfizer,Neuropathic pain,07-06-2015,5887,India,India,8095,Not assigned,180, $500.0 ," $90,000.0 ", $-   ,Jun
CA-2015-040,Pregabalin,Lyrica,Pfizer,Neuropathic pain,16-08-2015,5887,India,India,8095,Not assigned,352, $500.0 ," $1,76,000.0 ", $-   ,Aug
CA-2015-041,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-07-2015,5887,Utd.Arab Emir.,Utd.Arab Emir.,8095,Not assigned,259, $500.0 ," $1,29,500.0 ", $-   ,Jul
CA-2015-042,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-02-2015,5887,India,India,8095,Not assigned,211, $500.0 ," $1,05,500.0 ", $-   ,Feb
CA-2015-043,Pregabalin,Lyrica,Pfizer,Neuropathic pain,26-10-2015,5887,Malaysia,Malaysia,8095,Not assigned,175, $500.0 ," $87,500.0 ", $-   ,Oct
CA-2015-044,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-12-2015,5887,Malaysia,Malaysia,8095,Not assigned,76, $500.0 ," $38,000.0 ", $-   ,Dec
CA-2015-045,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-04-2015,5887,India,India,8095,Not assigned,261, $500.0 ," $1,30,500.0 ", $-   ,Apr
CA-2015-046,Pregabalin,Lyrica,Pfizer,Neuropathic pain,20-09-2015,5887,Netherlands,Netherlands,8095,Assigned,165, $500.0 ," $82,500.0 "," $3,960.0 ",Sep
CA-2015-047,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-03-2015,5887,Thailand,Thailand,8095,Assigned,189, $500.0 ," $94,500.0 "," $5,670.0 ",Mar
CA-2015-048,Pregabalin,Lyrica,Pfizer,Neuropathic pain,30-03-2015,5887,India,India,8095,Assigned,220, $500.0 ," $1,10,000.0 "," $3,153.3 ",Mar
CA-2015-049,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-07-2015,5887,Egypt,Egypt,8095,Not assigned,3, $500.0 ," $1,500.0 ", $-   ,Jul
CA-2015-050,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-01-2015,5887,Egypt,Egypt,8095,Not assigned,277, $500.0 ," $1,38,500.0 ", $-   ,Jan
CA-2015-051,Pregabalin,Lyrica,Pfizer,Neuropathic pain,05-06-2015,5887,India,India,8095,Assigned,128, $500.0 ," $64,000.0 "," $1,408.0 ",Jun
CA-2015-052,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-11-2015,5887,India,India,8095,Assigned,264, $500.0 ," $1,32,000.0 "," $6,512.0 ",Nov
CA-2015-053,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-06-2015,5887,India,India,8095,Assigned,391, $500.0 ," $1,95,500.0 "," $12,903.0 ",Jun
CA-2015-054,Pregabalin,Lyrica,Pfizer,Neuropathic pain,14-10-2015,5887,India,India,8095,Assigned,157, $500.0 ," $78,500.0 "," $4,657.7 ",Oct
CA-2015-055,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-07-2015,5887,India,India,8095,Assigned,205, $500.0 ," $1,02,500.0 "," $2,391.7 ",Jul
CA-2015-056,Pregabalin,Lyrica,Pfizer,Neuropathic pain,11-08-2015,5887,India,India,8095,Not assigned,95, $500.0 ," $47,500.0 ", $-   ,Aug
CA-2015-057,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-09-2015,5887,India,India,8095,Not assigned,379, $500.0 ," $1,89,500.0 ", $-   ,Sep
CA-2015-058,Pregabalin,Lyrica,Pfizer,Neuropathic pain,16-02-2015,5887,India,India,8095,Assigned,139, $500.0 ," $69,500.0 "," $2,826.3 ",Feb
CA-2015-059,Pregabalin,Lyrica,Pfizer,Neuropathic pain,06-01-2015,5887,Cambodia,Cambodia,8095,Not assigned,6, $500.0 ," $3,000.0 ", $-   ,Jan
CA-2015-060,Pregabalin,Lyrica,Pfizer,Neuropathic pain,04-09-2015,5887,Singapore,Singapore,8095,Not assigned,398, $500.0 ," $1,99,000.0 ", $-   ,Sep
CA-2015-061,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-12-2015,5887,India,India,8095,Not assigned,60, $500.0 ," $30,000.0 ", $-   ,Dec
CA-2015-062,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-03-2015,5887,South Korea,South Korea,8095,Not assigned,111, $500.0 ," $55,500.0 ", $-   ,Mar
CA-2015-063,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-08-2015,5887,Thailand,Thailand,8095,Assigned,60, $500.0 ," $30,000.0 ", $920.0 ,Aug
CA-2015-064,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-08-2015,5887,Singapore,Singapore,8095,Not assigned,419, $500.0 ," $2,09,500.0 ", $-   ,Aug
CA-2015-065,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-04-2015,5887,India,India,8095,Not assigned,404, $500.0 ," $2,02,000.0 ", $-   ,Apr
CA-2015-066,Pregabalin,Lyrica,Pfizer,Neuropathic pain,20-08-2015,5887,Vietnam,Netherlands,8095,Assigned,416, $500.0 ," $2,08,000.0 "," $6,517.3 ",Aug
CA-2015-067,Pregabalin,Lyrica,Pfizer,Neuropathic pain,08-02-2015,5887,Vietnam,Netherlands,8095,Assigned,247, $500.0 ," $1,23,500.0 "," $5,598.7 ",Feb
CA-2015-068,Pregabalin,Lyrica,Pfizer,Neuropathic pain,26-11-2015,5887,India,India,8095,Not assigned,459, $500.0 ," $2,29,500.0 ", $-   ,Nov
CA-2015-069,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-05-2015,5887,India,India,8095,Not assigned,431, $500.0 ," $2,15,500.0 ", $-   ,May
CA-2015-070,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-07-2015,5887,India,India,8095,Not assigned,497, $500.0 ," $2,48,500.0 ", $-   ,Jul
CA-2015-071,Pregabalin,Lyrica,Pfizer,Neuropathic pain,06-03-2015,5887,India,India,8095,Not assigned,472, $500.0 ," $2,36,000.0 ", $-   ,Mar
CA-2015-072,Pregabalin,Lyrica,Pfizer,Neuropathic pain,20-09-2015,5887,Singapore,Singapore,8095,Not assigned,459, $500.0 ," $2,29,500.0 ", $-   ,Sep
CA-2015-073,Pregabalin,Lyrica,Pfizer,Neuropathic pain,07-10-2015,5887,India,India,8095,Not assigned,119, $500.0 ," $59,500.0 ", $-   ,Oct
CA-2015-074,Pregabalin,Lyrica,Pfizer,Neuropathic pain,30-05-2015,5887,India,India,8095,Not assigned,113, $500.0 ," $56,500.0 ", $-   ,May
CA-2015-075,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-12-2015,5887,South Korea,South Korea,8095,Not assigned,181, $500.0 ," $90,500.0 ", $-   ,Dec
CA-2015-076,Pregabalin,Lyrica,Pfizer,Neuropathic pain,03-12-2015,5887,South Korea,South Korea,8095,Not assigned,279, $500.0 ," $1,39,500.0 ", $-   ,Dec
CA-2015-077,Pregabalin,Lyrica,Pfizer,Neuropathic pain,28-04-2015,5887,Thailand,Philippines,8095,Not assigned,122, $500.0 ," $61,000.0 ", $-   ,Apr
CA-2015-078,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-12-2015,5887,Thailand,Philippines,8095,Not assigned,28, $500.0 ," $14,000.0 ", $-   ,Dec
CA-2015-079,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-09-2015,5887,India,India,8095,Not assigned,284, $500.0 ," $1,42,000.0 ", $-   ,Sep
CA-2015-080,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-06-2015,5887,India,India,8095,Not assigned,470, $500.0 ," $2,35,000.0 ", $-   ,Jun
CA-2015-081,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-01-2015,5887,India,India,8095,Not assigned,244, $500.0 ," $1,22,000.0 ", $-   ,Jan
CA-2015-082,Pregabalin,Lyrica,Pfizer,Neuropathic pain,17-06-2015,5887,India,India,8095,Not assigned,321, $500.0 ," $1,60,500.0 ", $-   ,Jun
CA-2015-083,Pregabalin,Lyrica,Pfizer,Neuropathic pain,11-04-2015,5887,India,India,8095,Not assigned,118, $500.0 ," $59,000.0 ", $-   ,Apr
CA-2015-084,Pregabalin,Lyrica,Pfizer,Neuropathic pain,03-06-2015,5887,India,India,8095,Not assigned,435, $500.0 ," $2,17,500.0 ", $-   ,Jun
CA-2015-085,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-05-2015,5887,India,India,8095,Not assigned,208, $500.0 ," $1,04,000.0 ", $-   ,May
CA-2015-086,Pregabalin,Lyrica,Pfizer,Neuropathic pain,29-06-2015,5887,Thailand,Philippines,8095,Not assigned,244, $500.0 ," $1,22,000.0 ", $-   ,Jun
CA-2015-087,Pregabalin,Lyrica,Pfizer,Neuropathic pain,28-03-2015,5887,India,India,8095,Not assigned,312, $500.0 ," $1,56,000.0 ", $-   ,Mar
CA-2015-088,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-05-2015,5887,Yemen,Yemen,8095,Not assigned,214, $500.0 ," $1,07,000.0 ", $-   ,May
CA-2015-089,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-03-2015,5887,Sudan,South Korea,8095,Not assigned,458, $500.0 ," $2,29,000.0 ", $-   ,Mar
CA-2015-090,Pregabalin,Lyrica,Pfizer,Neuropathic pain,28-12-2015,5887,India,India,8095,Assigned,348, $500.0 ," $1,74,000.0 "," $1,392.0 ",Dec
CA-2015-091,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-06-2015,5887,India,India,8095,Not assigned,32, $500.0 ," $16,000.0 ", $-   ,Jun
CA-2015-092,Pregabalin,Lyrica,Pfizer,Neuropathic pain,07-09-2015,5887,India,India,8095,Not assigned,293, $500.0 ," $1,46,500.0 ", $-   ,Sep
CA-2015-093,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-11-2015,5887,India,India,8095,Not assigned,499, $500.0 ," $2,49,500.0 ", $-   ,Nov
CA-2015-094,Pregabalin,Lyrica,Pfizer,Neuropathic pain,04-07-2015,5887,India,India,8095,Not assigned,203, $500.0 ," $1,01,500.0 ", $-   ,Jul
CA-2015-095,Pregabalin,Lyrica,Pfizer,Neuropathic pain,31-07-2015,5887,India,India,8095,Not assigned,496, $500.0 ," $2,48,000.0 ", $-   ,Jul
CA-2015-096,Pregabalin,Lyrica,Pfizer,Neuropathic pain,10-04-2015,5887,India,India,8095,Not assigned,351, $500.0 ," $1,75,500.0 ", $-   ,Apr
CA-2015-097,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-01-2015,5887,India,India,8095,Assigned,305, $500.0 ," $1,52,500.0 "," $9,150.0 ",Jan
CA-2015-098,Pregabalin,Lyrica,Pfizer,Neuropathic pain,05-03-2015,5887,India,India,8095,Not assigned,136, $500.0 ," $68,000.0 ", $-   ,Mar
CA-2015-099,Pregabalin,Lyrica,Pfizer,Neuropathic pain,15-02-2015,5887,India,India,8095,Not assigned,343, $500.0 ," $1,71,500.0 ", $-   ,Feb
CA-2015-100,Pregabalin,Lyrica,Pfizer,Neuropathic pain,06-08-2015,5887,India,India,8095,Not assigned,75, $500.0 ," $37,500.0 ", $-   ,Aug
CA-2015-101,Pregabalin,Lyrica,Pfizer,Neuropathic pain,17-04-2015,5887,India,India,8095,Not assigned,58, $500.0 ," $29,000.0 ", $-   ,Apr
CA-2015-102,Pregabalin,Lyrica,Pfizer,Neuropathic pain,24-02-2015,5887,Sudan,South Korea,8095,Not assigned,360, $500.0 ," $1,80,000.0 ", $-   ,Feb
CA-2015-103,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-07-2015,5887,India,India,8095,Not assigned,213, $500.0 ," $1,06,500.0 ", $-   ,Jul
CA-2015-104,Pregabalin,Lyrica,Pfizer,Neuropathic pain,06-04-2015,5887,India,India,8095,Not assigned,296, $500.0 ," $1,48,000.0 ", $-   ,Apr
CA-2015-105,Pregabalin,Lyrica,Pfizer,Neuropathic pain,08-03-2015,5887,Sudan,South Korea,8095,Not assigned,127, $500.0 ," $63,500.0 ", $-   ,Mar
CA-2015-106,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-09-2015,5887,Uganda,Netherlands,8095,Assigned,239, $500.0 ," $1,19,500.0 "," $4,620.7 ",Sep
CA-2015-107,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-11-2015,5887,India,India,8095,Not assigned,291, $500.0 ," $1,45,500.0 ", $-   ,Nov
CA-2015-108,Pregabalin,Lyrica,Pfizer,Neuropathic pain,05-07-2015,5887,India,India,8095,Not assigned,429, $500.0 ," $2,14,500.0 ", $-   ,Jul
CA-2015-109,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-04-2015,5887,Uganda,Netherlands,8095,Assigned,103, $500.0 ," $51,500.0 "," $2,197.3 ",Apr
CA-2015-110,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-08-2015,5887,India,India,8095,Assigned,237, $500.0 ," $1,18,500.0 "," $1,580.0 ",Aug
CA-2015-111,Pregabalin,Lyrica,Pfizer,Neuropathic pain,10-06-2015,5887,India,India,8095,Not assigned,279, $500.0 ," $1,39,500.0 ", $-   ,Jun
CA-2015-112,Pregabalin,Lyrica,Pfizer,Neuropathic pain,10-02-2015,5887,India,India,8095,Not assigned,221, $500.0 ," $1,10,500.0 ", $-   ,Feb
AR-2015-113,Insulin glargine,Lantus Solostar,Sanofi-Aventis,Diabetes mellitus type 1 and 2,04-11-2015,5653,India,India,7933,Not assigned,137, $231.0 ," $31,647.0 ", $-   ,Nov
CA-2015-114,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-11-2015,5887,Thailand,Thailand,8095,Assigned,3, $500.0 ," $1,500.0 ", $66.0 ,Nov
CA-2015-115,Pregabalin,Lyrica,Pfizer,Neuropathic pain,15-10-2015,5887,India,India,8095,Not assigned,109, $500.0 ," $54,500.0 ", $-   ,Oct
CA-2015-116,Pregabalin,Lyrica,Pfizer,Neuropathic pain,07-06-2015,5887,India,India,8095,Not assigned,201, $500.0 ," $1,00,500.0 ", $-   ,Jun
CA-2015-117,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-12-2015,5887,India,India,8095,Not assigned,42, $500.0 ," $21,000.0 ", $-   ,Dec
CA-2015-118,Pregabalin,Lyrica,Pfizer,Neuropathic pain,16-08-2015,5887,India,India,8095,Not assigned,485, $500.0 ," $2,42,500.0 ", $-   ,Aug
CA-2015-119,Pregabalin,Lyrica,Pfizer,Neuropathic pain,09-07-2015,5887,India,India,8095,Not assigned,220, $500.0 ," $1,10,000.0 ", $-   ,Jul
CA-2015-120,Pregabalin,Lyrica,Pfizer,Neuropathic pain,08-06-2015,5887,India,India,8095,Not assigned,42, $500.0 ," $21,000.0 ", $-   ,Jun
CA-2015-121,Pregabalin,Lyrica,Pfizer,Neuropathic pain,15-11-2015,5887,India,India,8095,Not assigned,230, $500.0 ," $1,15,000.0 ", $-   ,Nov
CA-2015-122,Pregabalin,Lyrica,Pfizer,Neuropathic pain,26-06-2015,5887,India,India,8095,Not assigned,175, $500.0 ," $87,500.0 ", $-   ,Jun
CA-2015-123,Pregabalin,Lyrica,Pfizer,Neuropathic pain,13-10-2015,5887,India,India,8095,Not assigned,199, $500.0 ," $99,500.0 ", $-   ,Oct
CA-2015-124,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-01-2015,5887,India,India,8095,Not assigned,189, $500.0 ," $94,500.0 ", $-   ,Jan
CA-2015-125,Pregabalin,Lyrica,Pfizer,Neuropathic pain,31-08-2015,5887,India,India,8095,Assigned,213, $500.0 ," $1,06,500.0 "," $3,408.0 ",Aug
CA-2015-126,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-07-2015,5887,India,India,8095,Not assigned,83, $500.0 ," $41,500.0 ", $-   ,Jul
CA-2015-127,Pregabalin,Lyrica,Pfizer,Neuropathic pain,08-03-2015,5887,India,India,8095,Assigned,474, $500.0 ," $2,37,000.0 "," $7,900.0 ",Mar
CA-2015-128,Pregabalin,Lyrica,Pfizer,Neuropathic pain,05-09-2015,5887,India,India,8095,Assigned,92, $500.0 ," $46,000.0 "," $2,668.0 ",Sep
CA-2015-129,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-10-2015,5887,India,India,8095,Not assigned,49, $500.0 ," $24,500.0 ", $-   ,Oct
CA-2015-130,Pregabalin,Lyrica,Pfizer,Neuropathic pain,18-03-2015,5887,India,India,8095,Not assigned,470, $500.0 ," $2,35,000.0 ", $-   ,Mar
CA-2015-131,Pregabalin,Lyrica,Pfizer,Neuropathic pain,30-10-2015,5887,India,India,8095,Not assigned,433, $500.0 ," $2,16,500.0 ", $-   ,Oct
CA-2015-132,Pregabalin,Lyrica,Pfizer,Neuropathic pain,12-08-2015,5887,India,India,8095,Assigned,101, $500.0 ," $50,500.0 "," $2,222.0 ",Aug
AR-2015-133,Insulin glargine,Lantus Solostar,Sanofi-Aventis,Diabetes mellitus type 1 and 2,13-10-2015,5653,India,India,7933,Not assigned,272, $231.0 ," $62,832.0 ", $-   ,Oct
CA-2015-134,Pregabalin,Lyrica,Pfizer,Neuropathic pain,13-08-2015,5887,India,India,8095,Not assigned,15, $500.0 ," $7,500.0 ", $-   ,Aug
CA-2015-135,Pregabalin,Lyrica,Pfizer,Neuropathic pain,22-10-2015,5887,India,India,8095,Not assigned,136, $500.0 ," $68,000.0 ", $-   ,Oct
CA-2015-136,Pregabalin,Lyrica,Pfizer,Neuropathic pain,30-07-2015,5887,India,India,8095,Not assigned,209, $500.0 ," $1,04,500.0 ", $-   ,Jul
AR-2015-137,Insulin glargine,Lantus Solostar,Sanofi-Aventis,Diabetes mellitus type 1 and 2,14-10-2015,5653,India,India,7933,Not assigned,64, $231.0 ," $14,784.0 ", $-   ,Oct
CA-2015-138,Pregabalin,Lyrica,Pfizer,Neuropathic pain,10-10-2015,5887,Cambodia,Cambodia,8095,Not assigned,250, $500.0 ," $1,25,000.0 ", $-   ,Oct
CA-2015-139,Pregabalin,Lyrica,Pfizer,Neuropathic pain,08-01-2015,5887,Indonesia,Indonesia,8095,Not assigned,441, $500.0 ," $2,20,500.0 ", $-   ,Jan
CA-2015-140,Pregabalin,Lyrica,Pfizer,Neuropathic pain,26-06-2015,5887,Indonesia,Indonesia,8095,Not assigned,185, $500.0 ," $92,500.0 ", $-   ,Jun
CA-2015-141,Pregabalin,Lyrica,Pfizer,Neuropathic pain,11-11-2015,5887,India,India,8095,Not assigned,203, $500.0 ," $1,01,500.0 ", $-   ,Nov
CA-2015-142,Pregabalin,Lyrica,Pfizer,Neuropathic pain,01-11-2015,5887,Thailand,Thailand,8095,Assigned,279, $500.0 ," $1,39,500.0 "," $5,301.0 ",Nov
CA-2015-143,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-03-2015,5887,India,India,8095,Not assigned,348, $500.0 ," $1,74,000.0 ", $-   ,Mar
CA-2015-144,Pregabalin,Lyrica,Pfizer,Neuropathic pain,04-10-2015,5887,India,India,8095,Not assigned,406, $500.0 ," $2,03,000.0 ", $-   ,Oct
CA-2015-145,Pregabalin,Lyrica,Pfizer,Neuropathic pain,19-12-2015,5887,India,India,8095,Assigned,293, $500.0 ," $1,46,500.0 "," $7,813.3 ",Dec
CA-2015-146,Pregabalin,Lyrica,Pfizer,Neuropathic pain,27-09-2015,5887,India,India,8095,Not assigned,499, $500.0 ," $2,49,500.0 ", $-   ,Sep
CA-2015-147,Pregabalin,Lyrica,Pfizer,Neuropathic pain,23-08-2015,5887,India,India,8095,Not assigned,341, $500.0 ," $1,70,500.0 ", $-   ,Aug
CA-2015-148,Pregabalin,Lyrica,Pfizer,Neuropathic pain,18-12-2015,5887,India,India,8095,Not assigned,252, $500.0 ," $1,26,000.0 ", $-   ,Dec
CA-2015-149,Pregabalin,Lyrica,Pfizer,Neuropathic pain,07-02-2015,5887,India,India,8095,Not assigned,153, $500.0 ," $76,500.0 ", $-   ,Feb
CA-2015-150,Pregabalin,Lyrica,Pfizer,Neuropathic pain,29-08-2015,5887,India,India,8095,Not assigned,302, $500.0 ," $1,51,000.0 ", $-   ,Aug
CA-2015-151,Pregabalin,Lyrica,Pfizer,Neuropathic pain,02-11-2015,5887,Nepal,Nepal,8095,Assigned,73, $500.0 ," $36,500.0 "," $2,384.7 ",Nov
CA-2015-152,Pregabalin,Lyrica,Pfizer,Neuropathic pain,25-01-2015,5887,Nepal,Nepal,8095,Assigned,421, $500.0 ," $2,10,500.0 "," $13,331.7 ",Jan
CA-2015-153,Pregabalin,Lyrica,Pfizer,Neuropathic pain,13-10-2015,5887,India,India,8095,Assigned,469, $500.0 ," $2,34,500.0 "," $14,070.0 ",Oct
